148,gale-catlett-1,1973,0.001611
149,ron-abegglen-1,1992,0.001543
150,larry-finch-1,1987,0.001513
151,quin-snyder-1,2000,0.001508
152,dan-belluomini-1,1979,0.001484
153,brett-reed-1,2008,0.001464
154,ricardo-patton-1,1996,0.001461
155,jamie-dixon-1,2004,0.001454
156,tippy-dye-1,1942,0.001446
157,henry-bibby-1,1996,0.001421
158,maury-john-1,1959,0.001410
159,stan-heath-1,2002,0.001409
160,john-groce-1,2009,0.001404
161,bob-bender-1,1990,0.001392
162,fred-hoiberg-1,2011,0.001381
163,cliff-ellis-1,1976,0.001379
164,ralph-miller-1,1952,0.001370
165,billy-gillispie-1,2003,0.001359
166,jerry-green-2,1987,0.001357
167,larry-eustachy-1,1991,0.001355
168,ben-carnevale-1,1945,0.001354
169,dick-davey-1,1993,0.001351
170,joseph-curran-1,1954,0.001349
171,lorenzo-romar-1,1997,0.001343
172,brian-mahoney-1,1979,0.001318
173,tiny-grant-1,1978,0.001266
174,sam-barry-1,1923,0.001241
175,nibs-price-1,1925,0.001241
176,dave-odom-1,1980,0.001238
177,al-skinner-1,1989,0.001229
178,ted-owens-1,1965,0.001227
179,paul-westhead-1,1971,0.001218
180,phil-martelli-1,1996,0.001192
181,joey-meyer-1,1985,0.001184
182,james-snyder-1,1950,0.001171
183,ozzie-cowles-1,1925,0.001167
184,mick-cronin-1,2004,0.001163
185,frank-martin-1,2008,0.001143
186,john-jordan-1,1951,0.001113
187,fred-snowden-1,1973,0.001110
188,dick-harter-1,1967,0.001094
189,roy-danforth-1,1969,0.001093
190,leon-black-1,1968,0.001069
191,jim-les-1,2003,0.001068
192,harry-litwack-1,1953,0.001057
193,dan-monson-1,1998,0.001028
194,bob-weinhauer-1,1978,0.001024
195,doc-hayes-1,1948,0.001002
196,skip-prosser-1,1994,0.001000
197,lou-rossini-1,1951,0.000990
198,ladell-andersen-1,1962,0.000987
199,tom-young-2,1970,0.000982
200,ned-wulk-1,1952,0.000966
201,mark-turgeon-1,1999,0.000939
202,harry-combes-1,1948,0.000939
203,pat-kennedy-1,1981,0.000930
204,bobby-lutz-1,1999,0.000926
205,pat-foster-1,1981,0.000917
206,joseph-mullaney-1,1958,0.000906
207,harold-olsen-1,1919,0.000898
208,andy-enfield-1,2012,0.000889
209,jack-ramsay-1,1956,0.000875
210,scott-drew-1,2003,0.000865
211,eldon-miller-1,1971,0.000864
212,john-kresse-1,1992,0.000857
213,melvin-watkins-1,1997,0.000816
214,dave-gavitt-1,1968,0.000807
215,dave-bliss-1,1976,0.000798
216,roger-reid-1,1990,0.000780
217,dana-altman-1,1990,0.000778
218,jerry-dunn-1,1996,0.000776
219,bones-mckinney-1,1958,0.000770
220,marv-harshman-1,1959,0.000738
221,bob-gaillard-1,1971,0.000735
222,bob-mckillop-1,1990,0.000733
223,gary-thompson-1,1965,0.000722
224,eddie-fogler-1,1987,0.000719
225,alan-leforce-1,1991,0.000715
226,rick-stansbury-1,1999,0.000713
227,anthony-grant-2,2007,0.000700
228,matt-doherty-1,2000,0.000700
229,ernie-kent-1,1992,0.000698
230,kenneth-norton-1,1947,0.000698
231,charlie-coles-1,1986,0.000697
232,randy-bennett-1,2002,0.000690
233,dave-rose-1,2006,0.000688
234,jim-brandenburg-1,1977,0.000685
235,jack-nagle-1,1954,0.000670
236,ralph-willard-1,1991,0.000665
237,chuck-daly-1,1970,0.000663
238,steve-robinson-2,1996,0.000639
239,ben-jacobson-4,2007,0.000614
240,ray-giacoletti-1,2001,0.000601
241,kevin-mackey-1,1984,0.000599
242,john-giannini-1,1997,0.000596
243,gene-smithson-1,1976,0.000587
244,ken-mcdonald-1,2009,0.000576
245,fran-fraschilla-1,1993,0.000564
246,mack-mccarthy-1,1986,0.000563
247,abe-lemons-1,1956,0.000556
248,dick-tarrant-1,1982,0.000554
249,andy-russo-1,1980,0.000539
250,slats-gill-1,1929,0.000538
251,kevin-stallings-1,1994,0.000536
252,bill-hodges-1,1979,0.000530
253,john-brooks-1,1959,0.000529
254,earl-brown-2,1942,0.000527
255,ben-jobe-1,1972,0.000519
256,stew-morrill-1,1987,0.000517
257,ken-trickey-1,1966,0.000516
258,wayne-morgan-1,1997,0.000508
259,chris-lowery-1,2005,0.000498
260,pat-flannery-1,1995,0.000493
261,tony-bennett-1,2007,0.000490
262,rob-jeter-1,2006,0.000490
263,harold-bradley-1,1951,0.000489
264,dick-versace-1,1979,0.000489
265,mike-newell-1,1985,0.000487
266,fran-mccaffery-1,1986,0.000485
267,gerald-myers-1,1971,0.000483
268,louis-orr-1,2001,0.000482
269,murray-arnold-1,1980,0.000482
270,stu-jackson-1,1993,0.000476
271,brian-gregory-1,2004,0.000476
272,johnny-dee-1,1953,0.000467
273,nat-holman-1,1920,0.000464
274,bob-zuffelato-1,1972,0.000438
275,bob-wade-1,1987,0.000435
276,bruce-parkhill-1,1978,0.000431
277,neil-mccarthy-1,1975,0.000429
278,paul-valenti-1,1960,0.000427
279,elmer-gross-1,1950,0.000424
280,buster-sheary-1,1949,0.000414
281,branch-mccracken-1,1939,0.000412
282,elmer-ripley-1,1928,0.000406
283,homer-drew-1,1989,0.000400
284,tommy-amaker-1,1998,0.000395
285,steve-belko-1,1957,0.000394
286,gary-waters-1,1997,0.000393
287,david-hobbs-1,1993,0.000392
288,craig-esherick-1,1999,0.000392
289,frank-layden-1,1969,0.000382
290,johnny-swaim-1,1968,0.000379
291,matt-kilcullen-1,1992,0.000375
292,mark-fox-1,2005,0.000372
293,howard-cann-1,1924,0.000365
294,bill-herrion-1,1992,0.000355
295,bill-henderson-1,1942,0.000354
296,charles-spoonhour-1,1984,0.000354
297,marty-fletcher-1,1983,0.000354
298,paul-lambert-1,1967,0.000351
299,steve-donahue-1,2001,0.000351
300,everett-case-1,1947,0.000348
301,seth-greenberg-1,1991,0.000347
302,perry-clark-1,1990,0.000347
303,dick-hunsaker-1,1990,0.000340
304,hugh-greer-1,1947,0.000337
305,steve-mcclain-1,1999,0.000334
306,dick-edwards-1,1964,0.000334
307,darrin-horn-1,2004,0.000329
308,jd-barnett-1,1978,0.000326
309,gary-colson-1,1969,0.000323
310,jerry-wainwright-1,1995,0.000320
311,walt-hazzard-1,1985,0.000315
312,bob-donewald-1,1979,0.000310
313,pete-carril-1,1967,0.000308
314,perry-watson-1,1994,0.000304
315,bob-nichols-1,1966,0.000296
316,don-monson-1,1979,0.000296
317,buzz-ridl-1,1969,0.000294
318,greg-mcdermott-1,2002,0.000292
319,eddie-hickey-1,1936,0.000291
320,vadal-peterson-1,1928,0.000291
321,matt-zunic-1,1958,0.000289
322,howard-hobson-1,1936,0.000286
323,forrest-twogood-1,1937,0.000281
324,brian-ellerbe-1,1995,0.000279
325,russ-pennell-1,2009,0.000275
326,bob-thomason-1,1989,0.000275
327,tom-brennan-1,1983,0.000275
328,bud-foster-1,1935,0.000275
329,everett-shelton-1,1940,0.000271
330,fred-shabel-1,1964,0.000267
331,dave-leitao-1,1995,0.000266
332,andy-kennedy-1,2006,0.000261
333,charles-moir-1,1974,0.000259
334,peter-peletta-1,1961,0.000258
335,frank-haith-1,2005,0.000258
336,steve-newton-1,1986,0.000255
337,don-devoe-1,1972,0.000253
338,davey-whitney-1,1978,0.000252
339,mike-deane-1,1987,0.000252
340,howie-shannon-1,1965,0.000249
341,bebe-lee-1,1946,0.000244
342,dick-parfitt-1,1974,0.000242
343,bill-blair-1,1973,0.000239
344,harry-rabenhorst-1,1926,0.000239
345,fang-mitchell-1,1972,0.000238
346,bruce-stewart-1,1985,0.000234
347,jim-williams-1,1955,0.000229
348,jim-killingsworth-1,1972,0.000228
349,fran-dunphy-1,1990,0.000228
350,bobby-laughlin-1,1956,0.000222
351,ea-diddle-1,1923,0.000222
352,steve-lappas-1,1989,0.000222
353,stan-watts-1,1950,0.000211
354,bobby-dye-1,1975,0.000210
355,royce-waltman-1,1998,0.000205
356,roy-skinner-1,1959,0.000204
357,jim-crews-1,1986,0.000202
358,harold-anderson-1,1935,0.000201
359,john-phillips-1,2002,0.000201
360,sox-walseth-1,1957,0.000200
361,travis-ford-1,2001,0.000197
362,marcel-guley-1,1951,0.000194
363,bill-grier-1,2008,0.000190
364,alex-severence-1,1937,0.000188
365,jim-lynam-1,1969,0.000187
366,rod-barnes-1,1999,0.000186
367,ronnie-arrow-1,1988,0.000186
368,bruce-drake-1,1939,0.000178
369,jim-obrien-2,1990,0.000178
370,gene-sullivan-1,1981,0.000176
371,hank-raymonds-1,1978,0.000176
372,dick-garibaldi-1,1963,0.000171
373,red-mcmanus-1,1960,0.000168
374,jack-friel-1,1929,0.000167
375,bob-boyd-1,1964,0.000166
376,lake-kelly-1,1972,0.000166
377,james-weaver-1,1956,0.000159
378,bob-cousy-1,1964,0.000158
379,larry-krystkowiak-1,2005,0.000156
380,jay-smith-2,1998,0.000153
381,norm-ellenberger-1,1973,0.000152
382,jeff-capel-2,2003,0.000152
383,tates-locke-1,1964,0.000150
384,doc-carlson-1,1923,0.000149
385,hc-gilstrap-1,1943,0.000149
386,louis-menze-1,1929,0.000149
387,eugene-lambert-1,1943,0.000149
388,bud-millikan-1,1951,0.000149
389,phil-johnson-2,1969,0.000149
390,gene-visscher-1,1972,0.000149
391,charlie-schmaus-1,1977,0.000149
392,john-pelphrey-1,2003,0.000149
393,steve-prohm-1,2012,0.000149
394,jim-richards-1,1972,0.000148
395,benny-dees-1,1986,0.000147
396,bob-vanatta-1,1954,0.000143
397,dino-gaudio-1,1994,0.000139
398,chris-mooney-1,2005,0.000138
399,cappy-cappon-1,1932,0.000138
400,whack-hyder-1,1952,0.000131
401,george-raveling-1,1973,0.000131
402,glen-rose-1,1934,0.000122
403,les-robinson-1,1975,0.000119
404,dick-vitale-1,1974,0.000118
405,tad-boyle-1,2008,0.000117
406,josh-pastner-1,2010,0.000114
407,anthony-evans-2,2008,0.000113
408,steve-merfeld-1,1998,0.000112
409,jack-rohan-1,1962,0.000110
410,tony-barone-1,1986,0.000110
411,mike-mcconathy-1,2000,0.000109
412,speedy-morris-1,1987,0.000106
413,blaine-taylor-1,1992,0.000105
414,bill-carmody-1,1997,0.000104
415,dudey-moore-1,1949,0.000103
416,edward-donovan-1,1954,0.000101
417,roy-chipman-1,1978,0.000100
418,red-manning-1,1959,0.000099
419,richard-shrider-1,1958,0.000098
420,jim-dutcher-1,1976,0.000098
421,danny-nee-1,1981,0.000097
422,eugene-gibson-1,1962,0.000097
423,darrell-hedric-1,1971,0.000096
424,dee-rowe-1,1970,0.000095
425,robert-timmons-1,1954,0.000090
426,tony-hinkle-1,1927,0.000090
427,jim-boyle-1,1982,0.000089
428,jack-gray-1,1937,0.000087
429,john-grayson-1,1959,0.000087
430,billy-kennedy-1,1998,0.000086
431,chick-davies-1,1925,0.000085
432,karl-hobbs-1,2002,0.000085
433,dick-romney-1,1920,0.000076
434,eck-allen-1,1939,0.000076
435,bill-lange-1,1940,0.000076
436,douglas-mills-1,1937,0.000076
437,john-lawther-1,1927,0.000076
438,hec-edmundson-1,1917,0.000076
439,al-duer-1,1944,0.000076
440,george-edwards-1,1927,0.000076
441,josh-cody-1,1924,0.000076
442,john-long-3,1944,0.000076
