"Coach" "start_year"
"1066" "pat-flannery-1" 1995
"1041" "larry-finch-1" 1987
"1137" "bob-gaillard-1" 1971
"1382" "dick-harter-1" 1967
"3499" "tom-young-2" 1970
"1401" "doc-hayes-1" 1948
"3213" "forrest-twogood-1" 1937
"2208" "eldon-miller-1" 1971
"241" "henry-bibby-1" 1996
"57" "ladell-andersen-1" 1962
"1685" "john-jordan-1" 1951
"1919" "harry-litwack-1" 1953
"702" "mick-cronin-1" 2004
"529" "gale-catlett-1" 1973
"816" "james-dickey-1" 1992
"2031" "frank-martin-1" 2008
"746" "dick-davey-1" 1993
"3314" "gary-waters-1" 1997
"717" "gary-cunningham-1" 1978
"1608" "ben-jacobson-4" 2007
"2979" "fred-snowden-1" 1973
"2982" "james-snyder-1" 1950
"2432" "harold-olsen-1" 1919
"1256" "jerry-green-2" 1987
"1895" "jim-les-1" 2003
"1501" "fred-hoiberg-1" 2011
"919" "tippy-dye-1" 1942
"1742" "pat-kennedy-1" 1981
"3013" "kevin-stallings-1" 1994
"721" "joseph-curran-1" 1954
"2975" "gene-smithson-1" 1976
"3354" "paul-westhead-1" 1971
"2932" "stan-simpson-2" 1980
"2941" "al-skinner-1" 1989
"150" "jd-barnett-1" 1978
"3206" "mark-turgeon-1" 1999
"777" "everett-dean-1" 1922
"2217" "ralph-miller-1" 1952
"1532" "darrin-horn-1" 2004
"158" "sam-barry-1" 1923
"2588" "nibs-price-1" 1925
"879" "scott-drew-1" 2003
"680" "ozzie-cowles-1" 1925
"2075" "mack-mccarthy-1" 1986
"1513" "nat-holman-1" 1920
"2065" "fran-mccaffery-1" 1986
"3227" "paul-valenti-1" 1960
"253" "leon-black-1" 1968
"2330" "jack-nagle-1" 1954
"1977" "kevin-mackey-1" 1984
"1890" "abe-lemons-1" 1956
"1562" "dick-hunsaker-1" 1990
"202" "bob-bender-1" 1990
"1275" "bill-grier-1" 2008
"2101" "greg-mcdermott-1" 2002
"3017" "rick-stansbury-1" 1999
"53" "tommy-amaker-1" 1998
"324" "jim-brandenburg-1" 1977
"2136" "bob-mckillop-1" 1990
"609" "charlie-coles-1" 1986
"3392" "ralph-willard-1" 1991
"1181" "john-giannini-1" 1997
"3152" "gary-thompson-1" 1965
"2627" "jack-ramsay-1" 1956
"622" "harry-combes-1" 1948
"1493" "bill-hodges-1" 1979
"973" "andy-enfield-1" 2012
"986" "craig-esherick-1" 1999
"577" "perry-clark-1" 1990
"1962" "bobby-lutz-1" 1999
"2482" "ricardo-patton-1" 1996
"274" "dave-bliss-1" 1976
"2268" "wayne-morgan-1" 1997
"94" "murray-arnold-1" 1980
"2138" "bones-mckinney-1" 1958
"1806" "john-kresse-1" 1992
"877" "homer-drew-1" 1989
"3316" "melvin-watkins-1" 1997
"989" "larry-eustachy-1" 1991
"1964" "jim-lynam-1" 1969
"2461" "dick-parfitt-1" 1974
"847" "bob-donewald-1" 1979
"1870" "frank-layden-1" 1969
"2773" "lou-rossini-1" 1951
"1995" "brian-mahoney-1" 1979
"213" "randy-bennett-1" 2002
"1760" "jim-killingsworth-1" 1972
"2076" "neil-mccarthy-1" 1975
"1105" "mark-fox-1" 2005
"1832" "paul-lambert-1" 1967
"2793" "andy-russo-1" 1980
"2701" "buzz-ridl-1" 1969
"3001" "charles-spoonhour-1" 1984
"2329" "gerald-myers-1" 1971
"3511" "bob-zuffelato-1" 1972
"2359" "steve-newton-1" 1986
"504" "pete-carril-1" 1967
"2691" "jim-richards-1" 1972
"339" "tom-brennan-1" 1983
"3405" "jim-williams-1" 1955
"1758" "matt-kilcullen-1" 1992
"1190" "slats-gill-1" 1929
"2270" "stew-morrill-1" 1987
"733" "chuck-daly-1" 1970
"2663" "roger-reid-1" 1990
"2361" "bob-nichols-1" 1966
"2252" "don-monson-1" 1979
"1883" "alan-leforce-1" 1991
"2438" "louis-orr-1" 2001
"361" "john-brooks-1" 1959
"2298" "joseph-mullaney-1" 1958
"1262" "seth-greenberg-1" 1991
"2109" "ken-mcdonald-1" 2009
"198" "dan-belluomini-1" 1979
"3319" "perry-watson-1" 1994
"2467" "bruce-parkhill-1" 1978
"2093" "branch-mccracken-1" 1939
"2529" "john-phillips-1" 2002
"1169" "dave-gavitt-1" 1968
"2731" "steve-robinson-2" 1996
"673" "bob-cousy-1" 1964
"1101" "pat-foster-1" 1981
"2501" "russ-pennell-1" 2009
"1425" "bill-henderson-1" 1942
"1099" "bud-foster-1" 1935
"1089" "travis-ford-1" 2001
"1282" "elmer-gross-1" 1950
"1946" "chris-lowery-1" 2005
"918" "bobby-dye-1" 1975
"1070" "marty-fletcher-1" 1983
"370" "earl-brown-2" 1942
"2707" "elmer-ripley-1" 1928
"3094" "johnny-swaim-1" 1968
"785" "johnny-dee-1" 1953
"1180" "ray-giacoletti-1" 2001
"3512" "matt-zunic-1" 1958
"2898" "buster-sheary-1" 1949
"3273" "jerry-wainwright-1" 1995
"192" "steve-belko-1" 1957
"2763" "dave-rose-1" 2006
"1083" "eddie-fogler-1" 1987
"473" "howard-cann-1" 1924
"1634" "ben-jobe-1" 1972
"1605" "stu-jackson-1" 1993
"1269" "brian-gregory-1" 2004
"315" "harold-bradley-1" 1951
"944" "dick-edwards-1" 1964
"3248" "dick-versace-1" 1979
"2079" "steve-mcclain-1" 1999
"1113" "fran-fraschilla-1" 1993
"3298" "royce-waltman-1" 1998
"1632" "rob-jeter-1" 2006
"309" "jim-boyle-1" 1982
"1486" "david-hobbs-1" 1993
"781" "mike-deane-1" 1987
"2889" "fred-shabel-1" 1964
"906" "fran-dunphy-1" 1990
"516" "everett-case-1" 1947
"808" "don-devoe-1" 1972
"619" "gary-colson-1" 1969
"1167" "dino-gaudio-1" 1994
"1445" "bill-herrion-1" 1992
"902" "jerry-dunn-1" 1996
"96" "ronnie-arrow-1" 1988
"1732" "lake-kelly-1" 1972
"2380" "kenneth-norton-1" 1947
"2902" "everett-shelton-1" 1940
"146" "rod-barnes-1" 1999
"2496" "peter-peletta-1" 1961
"2241" "charles-moir-1" 1974
"2353" "mike-newell-1" 1985
"558" "roy-chipman-1" 1978
"845" "steve-donahue-1" 2001
"214" "tony-bennett-1" 2007
"2961" "jay-smith-2" 1998
"23901" "jim-obrien-2" 1983
"23911" "jim-obrien-2" 1990
"3266" "bob-wade-1" 1987
"2893" "howie-shannon-1" 1965
"2150" "red-mcmanus-1" 1960
"1737" "andy-kennedy-1" 2006
"258" "bill-blair-1" 1973
"64" "harold-anderson-1" 1935
"1888" "dave-leitao-1" 1995
"2614" "harry-rabenhorst-1" 1926
"872" "bruce-drake-1" 1939
"2942" "roy-skinner-1" 1959
"3238" "bob-vanatta-1" 1954
"2085" "mike-mcconathy-1" 2000
"836" "matt-doherty-1" 2000
"3120" "blaine-taylor-1" 1992
"3378" "davey-whitney-1" 1978
"3148" "bob-thomason-1" 1989
"3291" "sox-walseth-1" 1957
"1411" "walt-hazzard-1" 1985
"958" "norm-ellenberger-1" 1973
"2885" "alex-severence-1" 1937
"1877" "bebe-lee-1" 1946
"2255" "chris-mooney-1" 2005
"3083" "gene-sullivan-1" 1981
"2515" "vadal-peterson-1" 1928
"1490" "howard-hobson-1" 1936
"1585" "whack-hyder-1" 1952
"914" "jim-dutcher-1" 1976
"3322" "stan-watts-1" 1950
"787" "benny-dees-1" 1986
"1267" "hugh-greer-1" 1947
"2341" "danny-nee-1" 1981
"1453" "eddie-hickey-1" 1936
"1813" "larry-krystkowiak-1" 2005
"2183" "steve-merfeld-1" 1998
"3040" "bruce-stewart-1" 1985
"1738" "billy-kennedy-1" 1998
