joe-novak-1,1996,0.001681
paul-pasqualoni-1,1991,0.001680
bill-mallory-1,1969,0.001676
darryl-rogers-1,1969,0.001659
john-cooper-2,1977,0.001647
phil-dickens-1,1953,0.001632
emory-bellard-1,1972,0.001630
mark-dantonio-1,2004,0.001630
jim-sweeney-1,1968,0.001612
billy-brewer-1,1980,0.001610
gene-chizik-1,2007,0.001606
don-nehlen-1,1968,0.001597
bill-mccartney-1,1982,0.001595
john-mckay-1,1960,0.001591
dana-bible-1,1915,0.001570
bill-callahan-1,2004,0.001532
ara-parseghian-1,1956,0.001524
art-briles-1,2003,0.001524
bill-stewart-1,2008,0.001519
warren-woodson-1,1941,0.001511
edwin-price-1,1951,0.001493
bill-battle-1,1970,0.001483
bowden-wyatt-1,1947,0.001474
fritz-crisler-1,1930,0.001459
pete-elliott-1,1956,0.001454
bob-pruett-1,1997,0.001443
mike-sherman-1,2008,0.001433
jack-mitchell-1,1953,0.001415
warren-powers-1,1977,0.001413
dewitt-weaver-1,1951,0.001372
brady-hoke-1,2003,0.001362
keith-gilbertson-1,1992,0.001359
tommy-prothro-1,1955,0.001341
doug-dickey-1,1964,0.001300
gary-gibbs-1,1989,0.001284
bruce-snyder-1,1976,0.001271
jack-bicknell-1,1981,0.001252
bob-woodruff-1,1947,0.001250
mark-mangino-1,2002,0.001239
dick-sheridan-1,1978,0.001219
larry-smith-2,1976,0.001217
jim-owens-1,1957,0.001184
fred-akers-1,1975,0.001183
david-cutcliffe-1,1998,0.001176
doc-holliday-1,2010,0.001164
steve-sarkisian-1,2009,0.001158
charlie-strong-1,2004,0.001152
dana-holgorsen-1,2011,0.001150
rube-mccray-1,1944,0.001141
tom-wilson-1,1978,0.001140
jerry-kill-1,2008,0.001119
jim-harbaugh-1,2007,0.001094
dabo-swinney-1,2008,0.001091
dick-vermeil-1,1974,0.001086
paul-davis-2,1962,0.001077
dutch-meyer-1,1934,0.001067
bump-elliott-1,1959,0.001065
charley-pell-1,1977,0.001056
john-ralston-1,1959,0.001053
jim-stanley-1,1973,0.001048
tom-amstutz-1,2001,0.001012
chris-tormey-1,1996,0.001012
mike-shula-1,2003,0.000998
bobby-collins-1,1975,0.000995
homer-norton-1,1930,0.000980
gary-blackney-1,1991,0.000979
steve-addazio-1,2011,0.000975
jerry-claiborne-1,1961,0.000967
dan-henning-1,1994,0.000955
gus-henderson-1,1922,0.000953
wallace-wade-1,1923,0.000953
ray-eliot-1,1942,0.000953
al-onofrio-1,1971,0.000953
sam-boyd-1,1956,0.000951
sylvester-croom-1,2004,0.000945
bret-bielema-1,2006,0.000939
jim-harkema-1,1983,0.000938
dudley-degroot-1,1948,0.000938
tiny-thornhill-1,1933,0.000938
dave-doeren-1,2011,0.000938
robert-dobbs-1,1955,0.000929
billy-kinard-1,1971,0.000927
ben-schwartzwalder-1,1949,0.000927
jim-caldwell-1,1993,0.000922
bill-dooley-1,1967,0.000904
sonny-lubick-1,1993,0.000903
glenn-dobbs-1,1961,0.000902
frank-leahy-1,1939,0.000901
rick-stockstill-1,2006,0.000895
jack-murphy-1,1971,0.000892
buck-shaw-1,1937,0.000889
mario-cristobal-1,2007,0.000879
jim-lookabaugh-1,1939,0.000855
bo-sherman-1,1952,0.000840
arthur-guepe-1,1946,0.000824
bill-murray-1,1951,0.000823
larry-fedora-1,2008,0.000821
paul-dietzel-1,1955,0.000817
david-mcwilliams-1,1986,0.000807
rich-ellerson-1,2009,0.000797
ray-goff-1,1989,0.000791
earle-edwards-1,1954,0.000788
mike-ocain-1,1993,0.000788
red-drew-1,1924,0.000784
lon-stiner-1,1933,0.000781
william-alexander-1,1920,0.000779
bobby-johnson-2,2002,0.000764
charlie-weatherbie-1,1992,0.000754
bobby-williams-2,1999,0.000754
henry-frnka-1,1941,0.000748
tommy-west-1,1993,0.000733
michael-haywood-1,2009,0.000727
bob-toledo-1,1979,0.000719
paul-johnson-1,2002,0.000717
lloyd-eaton-1,1962,0.000716
bernie-moore-1,1935,0.000709
pat-jones-1,1984,0.000704
terry-bowden-1,1993,0.000683
dave-christensen-1,2009,0.000680
steve-kragthorpe-1,2003,0.000680
ron-turner-1,1992,0.000676
mark-hudspeth-1,2011,0.000657
lou-little-1,1927,0.000647
al-kawal-1,1947,0.000641
billy-murphy-1,1960,0.000641
jordan-olivar-1,1943,0.000641
charley-moran-1,1909,0.000641
harvey-hyde-1,1982,0.000641
claude-gilbert-1,1973,0.000641
terry-shea-1,1990,0.000641
ike-armstrong-1,1925,0.000641
jack-curtice-1,1941,0.000641
robert-fisher-1,1919,0.000641
andy-smith-1,1913,0.000641
clark-shaughnessy-1,1915,0.000641
