id,school_0,school_1,school_2,school_3,school_4,school_5
tom-abatemarco-1,0.164556962025,0.566666666667,0.442307692308,-1,-1,-1
paul-abbott-1,0.416666666667,-1,-1,-1,-1,-1
ron-abegglen-1,0.642553191489,-1,-1,-1,-1,-1
earl-abell-1,0.538461538462,-1,-1,-1,-1,-1
stu-aberdeen-1,0.446428571429,-1,-1,-1,-1,-1
ron-abernathy-1,0.218181818182,-1,-1,-1,-1,-1
howard-acher-1,0.508474576271,0.571428571429,-1,-1,-1,-1
dick-acres-1,0.58024691358,-1,-1,-1,-1,-1
cw-adams-1,0.6875,-1,-1,-1,-1,-1
frank-adams-1,0.477876106195,-1,-1,-1,-1,-1
harry-adams-1,0.315789473684,0.595744680851,-1,-1,-1,-1
james-adams-1,0.5,-1,-1,-1,-1,-1
mark-adams-2,0.328358208955,-1,-1,-1,-1,-1
mark-adams-3,0.296296296296,-1,-1,-1,-1,-1
marvin-adams-1,0.504587155963,-1,-1,-1,-1,-1
ron-adams-1,0.373913043478,-1,-1,-1,-1,-1
mike-adras-1,0.531680440771,-1,-1,-1,-1,-1
gurney-afflerbach-1,0.28,-1,-1,-1,-1,-1
jesse-agel-1,0.330508474576,-1,-1,-1,-1,-1
steve-aggers-1,0.379310344828,0.383458646617,-1,-1,-1,-1
mike-ahearn-1,0.509090909091,-1,-1,-1,-1,-1
henry-ahrens-1,0.421052631579,-1,-1,-1,-1,-1
paul-aiello-1,0.5,-1,-1,-1,-1,-1
jim-aiken-1,0.470588235294,-1,-1,-1,-1,-1
gerald-alaimo-1,0.377682403433,-1,-1,-1,-1,-1
stan-albeck-1,0.513698630137,0.3,-1,-1,-1,-1
randy-albrecht-1,0.405063291139,-1,-1,-1,-1,-1
ak-aldinger-1,0.633333333333,-1,-1,-1,-1,-1
casey-alexander-1,0.4,0.478260869565,-1,-1,-1,-1
cy-alexander-1,0.387283236994,0.45,0.579831932773,-1,-1,-1
louis-alexander-1,0.648148148148,0.793103448276,-1,-1,-1,-1
rex-alexander-1,0.454545454545,-1,-1,-1,-1,-1
william-alexander-1,0.486486486486,-1,-1,-1,-1,-1
steve-alford-1,0.748792270531,0.589147286822,0.772727272727,0.619047619048,-1,-1
bill-allen-1,0.333333333333,-1,-1,-1,-1,-1
claude-allen-1,0.8125,0.634615384615,-1,-1,-1,-1
eck-allen-1,0.661016949153,0.507462686567,-1,-1,-1,-1
frankie-allen-1,0.229411764706,0.450980392157,0.478632478632,0.358620689655,-1,-1
harvey-allen-1,0.6,-1,-1,-1,-1,-1
james-allen-1,0.796610169492,-1,-1,-1,-1,-1
jerome-allen-1,0.404580152672,-1,-1,-1,-1,-1
phog-allen-1,0.833333333333,0.729295426452,0.730434782609,-1,-1,-1
sonny-allen-1,0.6,0.56157635468,0.442028985507,-1,-1,-1
tom-allen-1,0.0,-1,-1,-1,-1,-1
wilbur-allen-2,0.6,-1,-1,-1,-1,-1
lyles-alley-1,0.490118577075,-1,-1,-1,-1,-1
stub-allison-1,0.466666666667,-1,-1,-1,-1,-1
vb-allison-1,0.521739130435,-1,-1,-1,-1,-1
derek-allister-1,0.301886792453,-1,-1,-1,-1,-1
unknown-allot-1,0.625,-1,-1,-1,-1,-1
dana-altman-1,0.535714285714,0.55737704918,0.650099403579,0.666666666667,-1,-1
paul-alyea-1,0.333333333333,-1,-1,-1,-1,-1
tommy-amaker-1,0.5625,0.653266331658,0.552845528455,-1,-1,-1
mark-amatucci-1,0.422885572139,-1,-1,-1,-1,-1
joe-anders-1,0.142857142857,-1,-1,-1,-1,-1
clarence-andersen-1,0.511111111111,-1,-1,-1,-1,-1
ladell-andersen-1,0.616216216216,0.64312267658,-1,-1,-1,-1
dick-anderson-1,0.45,-1,-1,-1,-1,-1
el-anderson-1,0.333333333333,-1,-1,-1,-1,-1
edward-anderson-1,0.54347826087,-1,-1,-1,-1,-1
forddy-anderson-1,0.717171717172,0.502008032129,0.581818181818,-1,-1,-1
glendon-anderson-1,0.466887417219,-1,-1,-1,-1,-1
hank-anderson-1,0.514231499051,0.538461538462,-1,-1,-1,-1
harold-anderson-1,0.775956284153,0.661791590494,-1,-1,-1,-1
henry-anderson-1,0.62,-1,-1,-1,-1,-1
isadore-anderson-1,0.625,-1,-1,-1,-1,-1
jim-anderson-1,0.467455621302,-1,-1,-1,-1,-1
kyle-anderson-1,0.0243902439024,-1,-1,-1,-1,-1
mike-anderson-1,0.684615384615,0.593023255814,0.660714285714,-1,-1,-1
millard-anderson-1,0.315789473684,-1,-1,-1,-1,-1
tevester-anderson-1,0.467084639498,0.664516129032,-1,-1,-1,-1
wayne-anderson-1,0.429268292683,-1,-1,-1,-1,-1
william-anderson-1,0.628959276018,-1,-1,-1,-1,-1
lew-andreas-1,0.7261663286,-1,-1,-1,-1,-1
jb-andrews-1,0.0,-1,-1,-1,-1,-1
emmett-angell-1,0.741379310345,0.703703703704,-1,-1,-1,-1
vince-angotti-1,0.361111111111,-1,-1,-1,-1,-1
steve-antrim-1,0.540145985401,-1,-1,-1,-1,-1
lawrence-apitz-1,0.161290322581,-1,-1,-1,-1,-1
tom-apke-1,0.486013986014,0.421428571429,0.670103092784,-1,-1,-1
clarence-applegran-1,0.243243243243,0.619047619048,-1,-1,-1,-1
phillip-arbuckle-1,0.526315789474,-1,-1,-1,-1,-1
fred-archer-1,0.588235294118,-1,-1,-1,-1,-1
lynn-archibald-1,0.532608695652,0.496183206107,-1,-1,-1,-1
frank-armin-1,0.666666666667,-1,-1,-1,-1,-1
charles-armstrong-1,0.6,-1,-1,-1,-1,-1
dave-armstrong-1,0.6,-1,-1,-1,-1,-1
ike-armstrong-1,0.333333333333,-1,-1,-1,-1,-1
jack-armstrong-1,0.393700787402,-1,-1,-1,-1,-1
red-armstrong-1,0.9,-1,-1,-1,-1,-1
john-arndt-1,0.502762430939,-1,-1,-1,-1,-1
frank-arnold-1,0.593073593074,0.196428571429,-1,-1,-1,-1
gib-arnold-1,0.567796610169,-1,-1,-1,-1,-1
murray-arnold-1,0.469135802469,0.745856353591,0.568,-1,-1,-1
jay-arnote-1,0.492957746479,-1,-1,-1,-1,-1
ronnie-arrow-1,0.567204301075,0.659722222222,-1,-1,-1,-1
tom-asbury-1,0.546428571429,0.491329479769,-1,-1,-1,-1
franklyn-ashcraft-1,0.093023255814,-1,-1,-1,-1,-1
jimmy-ashmore-1,0.527272727273,0.615384615385,0.823529411765,0.625,0.683760683761,0.671428571429
edward-ashnault-1,0.524193548387,0.340425531915,-1,-1,-1,-1
presley-askew-1,0.478571428571,0.486111111111,-1,-1,-1,-1
sam-aubrey-1,0.230769230769,-1,-1,-1,-1,-1
joe-aurreocoechea-1,0.676470588235,-1,-1,-1,-1,-1
lindsay-austin-1,0.35,-1,-1,-1,-1,-1
tim-autrey-1,0.505319148936,-1,-1,-1,-1,-1
jack-avina-1,0.477419354839,-1,-1,-1,-1,-1
randy-ayers-1,0.534482758621,-1,-1,-1,-1,-1
rusty-baccus-1,0.52380952381,-1,-1,-1,-1,-1
whitey-baccus-1,0.436507936508,-1,-1,-1,-1,-1
john-bach-1,0.502057613169,0.57468879668,-1,-1,-1,-1
arthur-badenoch-1,0.12,-1,-1,-1,-1,-1
ed-badger-1,0.489208633094,-1,-1,-1,-1,-1
jim-baechtold-1,0.551181102362,-1,-1,-1,-1,-1
al-baggett-1,0.903225806452,0.591549295775,-1,-1,-1,-1
kevin-baggett-1,0.553571428571,-1,-1,-1,-1,-1
fred-bailey-1,0.571428571429,-1,-1,-1,-1,-1
boydson-baird-1,0.411290322581,0.311688311688,-1,-1,-1,-1
cecil-baker-1,0.528428093645,-1,-1,-1,-1,-1
dick-baker-1,0.4296875,-1,-1,-1,-1,-1
joe-baker-1,0.170731707317,-1,-1,-1,-1,-1
rod-baker-1,0.309523809524,-1,-1,-1,-1,-1
tay-baker-1,0.440251572327,0.675675675676,-1,-1,-1,-1
george-balanis-1,0.537634408602,-1,-1,-1,-1,-1
james-baldwin-1,0.454545454545,0.65306122449,0.622222222222,0.333333333333,-1,-1
wp-bales-1,0.633333333333,-1,-1,-1,-1,-1
lorin-ball-1,0.288461538462,-1,-1,-1,-1,-1
clark-ballard-1,0.436363636364,-1,-1,-1,-1,-1
virgil-ballard-1,0.625,-1,-1,-1,-1,-1
wayne-ballard-1,0.402173913043,-1,-1,-1,-1,-1
dave-balza-1,0.333333333333,-1,-1,-1,-1,-1
dale-bandy-1,0.436708860759,-1,-1,-1,-1,-1
mark-banks-1,0.394366197183,0.611764705882,0.463768115942,-1,-1,-1
